,open,close
880,55.97,55.36
881,55.39,55.2
882,55.37,55.62
883,55.75,55.47
884,55.27,55.47
885,55.65,55.25
886,55.25,55.37
887,55.77,55.8
888,55.78,55.53
889,55.46,54.94
890,54.98,55.85
891,56.17,56.4
892,57.0,57.09
893,57.04,57.29
894,57.48,57.29
895,57.22,56.8
896,56.66,56.4
897,56.31,56.23
898,56.3,56.31
899,56.52,56.18
900,56.18,56.02
901,56.19,56.32
902,56.1,55.3
903,55.14,54.35
904,53.92,54.71
905,54.39,53.98
906,54.26,53.9
907,53.96,54.11
908,53.94,53.74
909,53.96,53.01
910,53.4,53.3
911,53.43,53.98
912,54.2,54.39
913,54.0,54.43
914,54.28,54.04
915,54.0,54.19
916,53.88,53.98
917,53.88,53.45
918,53.65,54.14
919,54.1,53.84
920,54.13,53.53
921,53.5,53.35
922,53.3,53.14
923,53.37,53.46
924,53.53,53.3
925,53.13,52.92
926,53.01,53.16
927,52.88,52.95
928,53.12,53.08
929,52.94,52.76
930,53.24,52.61
931,52.91,53.15
932,53.36,53.59
933,53.42,53.63
934,53.9,54.18
935,54.1,53.67
936,53.6,53.63
937,53.6,53.59
938,53.65,53.53
939,53.7,53.07
940,53.14,52.5
941,52.34,52.98
942,52.99,51.77
943,51.43,52.75
944,53.5,54.49
945,54.4,54.62
946,53.2,54.58
947,54.64,53.57
948,53.43,53.93
949,53.93,54.22
950,54.09,54.59
951,54.33,55.44
952,55.215,55.85
953,55.72,55.77
954,55.51,56.1
955,56.32,57.12
956,56.91,57.59
957,57.7,57.43
958,57.0,57.59
959,57.64,58.17
960,58.19,57.97
961,57.34,58.51
962,56.649,57.21
963,56.96,57.5
964,57.66,57.44
965,57.54,58.76
966,59.0,58.65
967,58.92,58.75
968,58.54,58.77
969,58.99,59.31
970,59.03,58.75
971,57.9675,57.71
972,58.01,57.66
973,57.44,57.65
974,57.81,57.7
975,57.5,57.44
976,57.31,57.11
977,57.29,57.01
978,56.99,56.86
979,56.8,56.35
980,56.35,56.32
981,56.28,55.52
982,55.91,55.35
983,55.56,55.99
984,56.08,56.46
985,56.63,57.13
986,57.26,58.2
987,58.22,57.88
988,57.8,58.1
989,58.0,58.03
990,58.03,57.85
991,57.62,58.0
992,58.32,58.45
993,58.31,57.89
994,58.14,57.66
995,57.42,57.76
996,57.93,58.44
997,58.67,58.7
998,58.7,58.46
999,55.75,56.12
1000,56.0,55.9
1001,55.8,55.22
1002,55.49,53.9
1003,54.04,53.87
1004,54.21,55.06
1005,55.01,55.73
1006,55.79,55.24
1007,55.19,55.22
1008,55.23,55.81
1009,55.73,56.22
1010,56.5,56.11
1011,56.02,56.58
1012,56.56,56.86
1013,56.96,56.73
1014,56.8,57.35
1015,57.41,57.54
1016,57.52,57.57
1017,57.6,57.64
1018,57.61,57.48
1019,57.24,56.78
1020,56.71,56.87
1021,57.27,57.14
1022,57.07,57.12
1023,56.7,57.1
1024,56.78,56.68
1025,56.58,56.2
1026,56.15,55.74
1027,55.75,55.19
1028,55.39,54.53
1029,54.57,54.63
1030,54.62,54.27
1031,54.39,54.54
1032,54.85,54.8
1033,55.04,55.78
1034,55.87,55.81
1035,56.05,55.54
1036,55.68,55.89
1037,56.15,55.85
1038,56.11,56.81
1039,56.66,57.23
1040,57.1,57.35
1041,57.17,57.54
1042,57.45,58.16
1043,58.105,58.39
1044,58.28,58.44
1045,58.37,58.32
1046,57.96,58.22
1047,58.13,57.92
1048,57.8,58.02
1049,58.0,57.95
1050,57.74,57.88
1051,57.88,57.58
1052,57.61,57.51
1053,57.68,58.08
1054,57.59,58.35
1055,58.6,59.04
1056,59.71,60.08
1057,60.2,60.61
1058,61.0,61.11
1059,60.65,60.96
1060,61.23,61.56
1061,61.63,61.3
1062,59.41,60.06
1063,60.0,60.18
1064,60.15,60.5
1065,60.52,60.59
1066,60.65,60.83
1067,60.86,60.95
1068,61.07,60.94
1069,60.58,60.98
1070,60.88,60.66
1071,60.45,60.27
1072,60.28,59.93
1073,60.42,60.45
1074,60.68,59.98
1075,59.97,59.73
1076,59.73,59.82
1077,59.94,61.36
1078,61.03,61.23
1079,61.4,61.15
1080,61.4,61.89
1081,62.01,62.9
1082,63.01,63.3
1083,63.07,63.26
1084,63.27,63.61
1085,63.51,63.75
1086,63.88,64.57
1087,64.85,64.27
1088,64.22,64.16
1089,64.13,63.5
1090,63.44,62.24
1091,62.37,62.19
1092,61.8,61.29
1093,61.12,60.92
1094,60.67,60.27
1095,59.92,60.09
1096,59.89,60.14
1097,60.35,60.9
1098,60.98,59.86
1099,60.0,59.96
1100,60.09,59.51
1101,59.76,59.81
1102,60.02,59.64
1103,59.54,58.96
1104,59.06,59.18
1105,59.17,58.36
1106,58.68,58.31
1107,58.9,58.25
1108,58.43,57.94
1109,57.8,57.6
1110,57.79,58.04
1111,58.18,57.81
1112,57.91,57.9
1113,58.21,58.54
1114,58.8,58.38
1115,58.4,58.76
1116,58.73,58.33
1117,58.12,58.21
1118,58.15,58.11
1119,58.41,58.03
1120,57.92,57.98
1121,58.0,58.02
1122,58.215,58.55
1123,58.8,57.94
1124,58.25,59.5
1125,55.23,54.0
1126,54.48,53.98
1127,54.57,54.73
1128,54.75,55.43
1129,55.64,55.68
1130,55.97,55.44
1131,55.6,55.63
1132,55.55,54.52
1133,54.43,53.74
1134,53.52,53.07
1135,53.05,53.18
1136,53.6,53.22
1137,53.41,53.15
1138,53.26,53.5
1139,53.32,53.04
1140,52.92,52.7
1141,53.14,53.15
1142,53.49,54.45
1143,53.96,54.08
1144,54.26,53.94
1145,54.62,54.36
1146,54.54,54.4
1147,54.04,54.1
1148,54.04,54.52
1149,54.68,54.86
1150,54.9,54.93
1151,54.95,55.13
1152,55.12,54.31
1153,54.42,53.47
1154,53.39,53.49
1155,53.79,54.02
1156,53.98,53.54
1157,53.55,54.29
1158,54.38,54.53
1159,54.44,54.67
1160,54.8,54.69
1161,54.84,54.62
1162,54.58,55.15
1163,55.05,55.01
1164,55.05,55.09
1165,54.98,54.95
1166,55.06,55.13
1167,55.25,54.99
1168,54.81,54.5
1169,54.31,53.71
1170,53.86,53.81
1171,54.0,53.99
1172,54.12,53.93
1173,54.06,54.6
1174,54.51,55.17
1175,55.37,55.02
1176,55.1,55.42
1177,55.46,55.64
1178,55.67,55.97
1179,56.0,55.72
1180,55.67,54.91
1181,54.86,54.51
1182,54.46,55.21
1183,55.08,55.4
1184,55.31,54.57
1185,54.77,54.27
1186,54.37,54.28
1187,54.24,54.16
1188,54.5,54.91
1189,54.83,54.88
1190,54.79,55.17
1191,55.16,54.84
1192,55.1,55.13
1193,55.15,54.87
1194,54.16,56.03
1195,55.99,56.57
1196,56.33,57.22
1197,57.03,57.91
1198,57.2,57.36
1199,57.36,57.04
1200,56.81,56.64
1201,56.47,56.93
1202,56.82,56.7
1203,56.92,57.24
1204,57.24,56.93
1205,56.67,56.81
1206,56.96,57.26
1207,57.07,57.14
1208,57.19,56.8
1209,56.83,55.91
1210,56.03,56.66
1211,56.71,57.51
1212,57.64,57.82
1213,57.5,57.32
1214,57.54,58.76
1215,59.25,59.34
1216,59.38,59.28
1217,59.12,59.14
1218,58.52,58.61
1219,58.39,59.07
1220,58.99,59.27
1221,59.44,59.49
1222,59.73,59.7
1223,59.25,58.29
1224,58.44,58.03
1225,58.13,58.01
1226,58.22,57.73
1227,57.94,57.58
1228,57.57,57.3
1229,57.27,57.14
1230,57.19,57.27
1231,57.47,57.81
1232,57.74,57.43
1233,57.95,57.63
1234,57.93,58.71
1235,58.99,58.93
1236,59.25,59.61
1237,59.48,59.31
1238,59.2,59.18
1239,59.24,59.82
1240,59.76,60.0
1241,60.4,60.4
1242,60.33,60.56
1243,61.0,60.66
1244,61.43,61.09
1245,61.21,61.26
1246,61.04,61.41
1247,61.32,61.69
1248,61.51,60.83
1249,61.03,60.55
1250,57.94,57.99
1251,57.55,57.02
1252,56.96,57.19
1253,57.23,56.81
1254,56.28,56.0
1255,55.9,55.77
1256,55.53,54.69
1257,53.685,55.61
1258,55.08,54.46
